"location_id","location_name","co","no2","o3","pm10","pm25","so2","datetimeUtc","datetimeLocal","timezone","latitude","longitude","country_iso","isMobile","isMonitor","owner_name","provider"
"2161312","Xuân Tảo","334.4","19","","25.2","19.6","","2025-02-02T17:00:00Z","2025-02-03T00:00:00+07:00","Asia/Bangkok","21.2575","105.8514","","","","Unknown Governmental Organization","Hanoi Air Quality Monitoring Network"
"2161312","Xuân Tảo","359.8","25.4","","17.3","13.1","","2025-02-02T18:00:00Z","2025-02-03T01:00:00+07:00","Asia/Bangkok","21.2575","105.8514","","","","Unknown Governmental Organization","Hanoi Air Quality Monitoring Network"
"2161312","Xuân Tảo","381.3","48.1","","13.2","10.1","","2025-02-02T19:00:00Z","2025-02-03T02:00:00+07:00","Asia/Bangkok","21.2575","105.8514","","","","Unknown Governmental Organization","Hanoi Air Quality Monitoring Network"
"2161312","Xuân Tảo","577.6","51.7","","16.3","12.5","","2025-02-02T20:00:00Z","2025-02-03T03:00:00+07:00","Asia/Bangkok","21.2575","105.8514","","","","Unknown Governmental Organization","Hanoi Air Quality Monitoring Network"
"2161312","Xuân Tảo","455.3","49.4","","12.4","9.5","","2025-02-02T21:00:00Z","2025-02-03T04:00:00+07:00","Asia/Bangkok","21.2575","105.8514","","","","Unknown Governmental Organization","Hanoi Air Quality Monitoring Network"
"2161312","Xuân Tảo","420.6","52.7","","11.6","9","","2025-02-02T22:00:00Z","2025-02-03T05:00:00+07:00","Asia/Bangkok","21.2575","105.8514","","","","Unknown Governmental Organization","Hanoi Air Quality Monitoring Network"
"2161312","Xuân Tảo","359.6","36.7","","10.2","7.9","","2025-02-02T23:00:00Z","2025-02-03T06:00:00+07:00","Asia/Bangkok","21.2575","105.8514","","","","Unknown Governmental Organization","Hanoi Air Quality Monitoring Network"
"2161312","Xuân Tảo","314.6","44.3","","8.2","6.5","","2025-02-03T00:00:00Z","2025-02-03T07:00:00+07:00","Asia/Bangkok","21.2575","105.8514","","","","Unknown Governmental Organization","Hanoi Air Quality Monitoring Network"
"2161312","Xuân Tảo","302.7","46.7","","9.4","7.3","","2025-02-03T01:00:00Z","2025-02-03T08:00:00+07:00","Asia/Bangkok","21.2575","105.8514","","","","Unknown Governmental Organization","Hanoi Air Quality Monitoring Network"
"2161312","Xuân Tảo","360","53.6","","15.2","11.6","","2025-02-03T02:00:00Z","2025-02-03T09:00:00+07:00","Asia/Bangkok","21.2575","105.8514","","","","Unknown Governmental Organization","Hanoi Air Quality Monitoring Network"
"2161312","Xuân Tảo","333.4","49.1","","13","10","","2025-02-03T03:00:00Z","2025-02-03T10:00:00+07:00","Asia/Bangkok","21.2575","105.8514","","","","Unknown Governmental Organization","Hanoi Air Quality Monitoring Network"
"2161312","Xuân Tảo","340.3","42.5","","12.7","9.7","","2025-02-03T04:00:00Z","2025-02-03T11:00:00+07:00","Asia/Bangkok","21.2575","105.8514","","","","Unknown Governmental Organization","Hanoi Air Quality Monitoring Network"
"2161312","Xuân Tảo","472.9","25.9","","9.6","7.7","","2025-02-03T05:00:00Z","2025-02-03T12:00:00+07:00","Asia/Bangkok","21.2575","105.8514","","","","Unknown Governmental Organization","Hanoi Air Quality Monitoring Network"
"2161312","Xuân Tảo","404.5","22.6","","8.5","6.9","","2025-02-03T06:00:00Z","2025-02-03T13:00:00+07:00","Asia/Bangkok","21.2575","105.8514","","","","Unknown Governmental Organization","Hanoi Air Quality Monitoring Network"
"2161312","Xuân Tảo","362.4","21.4","","7.9","6.6","","2025-02-03T07:00:00Z","2025-02-03T14:00:00+07:00","Asia/Bangkok","21.2575","105.8514","","","","Unknown Governmental Organization","Hanoi Air Quality Monitoring Network"
"2161312","Xuân Tảo","325.2","24.8","","7.3","6.1","","2025-02-03T08:00:00Z","2025-02-03T15:00:00+07:00","Asia/Bangkok","21.2575","105.8514","","","","Unknown Governmental Organization","Hanoi Air Quality Monitoring Network"
"2161312","Xuân Tảo","306.8","22.5","","8.8","7.3","","2025-02-03T09:00:00Z","2025-02-03T16:00:00+07:00","Asia/Bangkok","21.2575","105.8514","","","","Unknown Governmental Organization","Hanoi Air Quality Monitoring Network"
"2161312","Xuân Tảo","368","19.3","","9.5","7.9","","2025-02-03T10:00:00Z","2025-02-03T17:00:00+07:00","Asia/Bangkok","21.2575","105.8514","","","","Unknown Governmental Organization","Hanoi Air Quality Monitoring Network"
"2161312","Xuân Tảo","427.3","19.2","","13.2","10.9","","2025-02-03T11:00:00Z","2025-02-03T18:00:00+07:00","Asia/Bangkok","21.2575","105.8514","","","","Unknown Governmental Organization","Hanoi Air Quality Monitoring Network"
"2161312","Xuân Tảo","436.1","19.1","","13.1","11","","2025-02-03T12:00:00Z","2025-02-03T19:00:00+07:00","Asia/Bangkok","21.2575","105.8514","","","","Unknown Governmental Organization","Hanoi Air Quality Monitoring Network"
"2161312","Xuân Tảo","416.5","17.3","","12.7","10.8","","2025-02-03T13:00:00Z","2025-02-03T20:00:00+07:00","Asia/Bangkok","21.2575","105.8514","","","","Unknown Governmental Organization","Hanoi Air Quality Monitoring Network"
"2161312","Xuân Tảo","555.8","15.4","","18.3","15.2","","2025-02-03T14:00:00Z","2025-02-03T21:00:00+07:00","Asia/Bangkok","21.2575","105.8514","","","","Unknown Governmental Organization","Hanoi Air Quality Monitoring Network"
"2161312","Xuân Tảo","394.3","13.5","","17.3","14.7","","2025-02-03T15:00:00Z","2025-02-03T22:00:00+07:00","Asia/Bangkok","21.2575","105.8514","","","","Unknown Governmental Organization","Hanoi Air Quality Monitoring Network"
"2161312","Xuân Tảo","332.9","12.3","","12.5","10.5","","2025-02-03T16:00:00Z","2025-02-03T23:00:00+07:00","Asia/Bangkok","21.2575","105.8514","","","","Unknown Governmental Organization","Hanoi Air Quality Monitoring Network"
"2161312","Xuân Tảo","275.9","13.4","","10.1","8.4","","2025-02-03T17:00:00Z","2025-02-04T00:00:00+07:00","Asia/Bangkok","21.2575","105.8514","","","","Unknown Governmental Organization","Hanoi Air Quality Monitoring Network"
"2161312","Xuân Tảo","250.4","14.2","","10.7","9","","2025-02-03T18:00:00Z","2025-02-04T01:00:00+07:00","Asia/Bangkok","21.2575","105.8514","","","","Unknown Governmental Organization","Hanoi Air Quality Monitoring Network"
"2161312","Xuân Tảo","261.5","12.8","","11","9.4","","2025-02-03T19:00:00Z","2025-02-04T02:00:00+07:00","Asia/Bangkok","21.2575","105.8514","","","","Unknown Governmental Organization","Hanoi Air Quality Monitoring Network"
"2161312","Xuân Tảo","279.2","12.8","","11.5","9.8","","2025-02-03T20:00:00Z","2025-02-04T03:00:00+07:00","Asia/Bangkok","21.2575","105.8514","","","","Unknown Governmental Organization","Hanoi Air Quality Monitoring Network"
"2161312","Xuân Tảo","222.6","11.8","","12","10.4","","2025-02-03T21:00:00Z","2025-02-04T04:00:00+07:00","Asia/Bangkok","21.2575","105.8514","","","","Unknown Governmental Organization","Hanoi Air Quality Monitoring Network"
"2161312","Xuân Tảo","255.8","11.1","","13.6","12","","2025-02-03T22:00:00Z","2025-02-04T05:00:00+07:00","Asia/Bangkok","21.2575","105.8514","","","","Unknown Governmental Organization","Hanoi Air Quality Monitoring Network"
"2161312","Xuân Tảo","283.1","14.2","","12.7","11.2","","2025-02-03T23:00:00Z","2025-02-04T06:00:00+07:00","Asia/Bangkok","21.2575","105.8514","","","","Unknown Governmental Organization","Hanoi Air Quality Monitoring Network"
"2161312","Xuân Tảo","383.6","12.1","","13.7","12","","2025-02-04T00:00:00Z","2025-02-04T07:00:00+07:00","Asia/Bangkok","21.2575","105.8514","","","","Unknown Governmental Organization","Hanoi Air Quality Monitoring Network"
"2161312","Xuân Tảo","465.9","17.5","","15.9","13.6","","2025-02-04T01:00:00Z","2025-02-04T08:00:00+07:00","Asia/Bangkok","21.2575","105.8514","","","","Unknown Governmental Organization","Hanoi Air Quality Monitoring Network"
"2161312","Xuân Tảo","343.1","20","","19.4","16","","2025-02-04T02:00:00Z","2025-02-04T09:00:00+07:00","Asia/Bangkok","21.2575","105.8514","","","","Unknown Governmental Organization","Hanoi Air Quality Monitoring Network"
"2161312","Xuân Tảo","283.4","19.3","","17.8","15","","2025-02-04T03:00:00Z","2025-02-04T10:00:00+07:00","Asia/Bangkok","21.2575","105.8514","","","","Unknown Governmental Organization","Hanoi Air Quality Monitoring Network"
"2161312","Xuân Tảo","269.4","17.9","","15.2","13.4","","2025-02-04T04:00:00Z","2025-02-04T11:00:00+07:00","Asia/Bangkok","21.2575","105.8514","","","","Unknown Governmental Organization","Hanoi Air Quality Monitoring Network"
